userId,movieId,rating,timestamp,year,month
509,7347,3.0,2015-07-04 07:23:17,2015,7
326,71462,4.0,2011-11-25 20:18:55,2011,11
57,2115,3.0,2000-08-09 05:15:55,2000,8
610,1127,4.0,2016-11-19 08:28:22,2016,11
462,2409,2.0,2007-03-21 00:50:49,2007,3
600,2084,3.5,2009-03-22 09:37:49,2009,3
89,121342,3.5,2018-03-07 07:52:01,2018,3
343,2329,4.0,2008-02-03 17:54:49,2008,2
414,36517,4.0,2006-02-13 16:46:15,2006,2
156,3072,4.0,2000-01-02 07:50:53,2000,1
305,1625,2.5,2016-04-08 17:19:34,2016,4
448,440,3.0,2002-04-18 10:57:24,2002,4
57,594,4.0,2000-08-09 04:40:04,2000,8
20,6157,2.0,2003-05-27 12:00:11,2003,5
313,541,5.0,2002-08-27 18:57:46,2002,8
600,5064,1.5,2009-03-22 23:26:58,2009,3
304,1210,5.0,1997-12-04 10:48:47,1997,12
469,1104,5.0,2000-08-07 15:25:04,2000,8
138,2707,0.5,2008-09-29 08:13:53,2008,9
217,2331,2.0,2000-04-17 03:54:41,2000,4
372,1015,2.0,1997-09-16 13:31:01,1997,9
603,3521,4.0,2000-07-09 20:55:06,2000,7
339,1625,4.0,2016-04-11 06:02:37,2016,4
438,3408,3.5,2005-01-13 20:55:33,2005,1
366,589,4.0,2015-10-22 20:41:44,2015,10
150,95,3.0,1997-01-25 14:37:52,1997,1
523,26776,4.5,2017-08-19 07:02:30,2017,8
380,1653,4.0,2017-05-14 23:11:14,2017,5
489,2379,1.5,2012-04-01 16:21:10,2012,4
111,71057,1.5,2018-01-16 23:08:27,2018,1
318,3412,4.0,2010-06-02 10:37:39,2010,6
333,3755,3.0,2000-08-07 18:07:04,2000,8
217,1014,3.0,2000-04-17 03:58:37,2000,4
514,2028,4.0,2018-08-10 03:40:51,2018,8
275,440,4.0,2003-03-31 02:10:16,2003,3
84,318,5.0,1997-03-06 13:06:34,1997,3
424,6870,4.5,2016-03-13 04:37:14,2016,3
408,8528,4.5,2017-01-09 07:06:46,2017,1
552,2598,2.5,2005-03-30 02:57:19,2005,3
109,110,5.0,1996-08-27 00:43:41,1996,8
380,68791,3.0,2017-04-28 23:06:33,2017,4
76,2858,4.0,2015-08-10 00:37:12,2015,8
19,798,2.0,2000-08-08 04:46:59,2000,8
305,1258,5.0,2016-04-08 17:08:05,2016,4
469,2391,5.0,2000-08-03 21:04:55,2000,8
590,2376,1.5,2009-11-17 00:47:31,2009,11
467,2125,2.0,1999-02-22 08:27:34,1999,2
68,3147,3.5,2006-09-17 22:29:27,2006,9
217,564,1.0,2000-04-17 04:25:21,2000,4
525,99149,4.0,2016-10-14 20:54:00,2016,10
199,380,3.0,1999-10-21 22:19:20,1999,10
475,2617,5.0,2017-06-21 07:56:44,2017,6
122,80463,5.0,2016-04-25 05:47:54,2016,4
564,3948,4.0,2016-11-06 17:38:50,2016,11
480,48783,4.0,2007-05-14 16:32:57,2007,5
66,7438,5.0,2004-08-29 02:41:15,2004,8
307,1093,3.0,2007-12-11 21:10:44,2007,12
425,5679,4.0,2005-01-23 12:33:03,2005,1
268,1968,2.0,1999-10-17 17:57:16,1999,10
608,6323,4.0,2005-05-29 03:22:03,2005,5
603,1639,5.0,2000-03-31 06:01:45,2000,3
469,3160,4.0,2000-08-09 18:36:50,2000,8
599,68319,2.5,2017-06-26 22:54:52,2017,6
474,3548,4.5,2004-06-21 15:25:18,2004,6
219,1240,4.0,2007-11-10 09:19:06,2007,11
222,6863,4.0,2014-02-02 21:03:32,2014,2
182,3503,4.0,2004-02-15 06:20:45,2004,2
212,81591,4.0,2017-03-21 16:48:29,2017,3
165,5481,3.0,2003-03-04 01:30:22,2003,3
509,4993,5.0,2015-07-04 06:44:37,2015,7
594,339,5.0,2005-02-22 01:46:55,2005,2
274,4544,3.5,2007-02-18 20:22:07,2007,2
230,3527,3.5,2007-11-29 02:58:21,2007,11
10,4995,4.0,2016-02-12 18:29:58,2016,2
125,160563,3.5,2016-10-19 19:07:23,2016,10
351,88405,3.5,2012-02-03 19:19:58,2012,2
586,5952,5.0,2018-06-25 03:59:02,2018,6
414,1007,2.0,2000-06-20 15:06:16,2000,6
68,1408,5.0,2006-09-17 22:45:26,2006,9
462,90430,3.5,2013-11-11 14:41:27,2013,11
489,4995,4.0,2012-03-30 10:00:58,2012,3
590,494,3.0,2010-02-18 05:56:55,2010,2
274,34534,3.5,2007-02-18 20:28:02,2007,2
414,187595,3.5,2018-06-02 22:18:40,2018,6
474,529,4.0,2001-01-11 02:28:59,2001,1
590,349,3.5,2009-11-17 01:15:49,2009,11
268,1196,5.0,1999-10-17 18:34:51,1999,10
514,1345,4.0,2018-08-10 03:46:22,2018,8
590,1945,5.0,2009-11-17 00:20:59,2009,11
448,4981,4.0,2002-04-18 11:01:09,2002,4
599,169958,1.0,2017-06-27 02:03:30,2017,6
31,736,4.0,1996-12-13 08:43:36,1996,12
111,165671,4.5,2018-02-16 20:15:12,2018,2
525,551,4.0,2016-10-14 20:49:12,2016,10
511,3307,4.5,2015-12-14 11:57:14,2015,12
298,114935,3.0,2015-12-17 16:21:36,2015,12
57,377,2.0,2000-09-24 00:11:52,2000,9
411,440,3.0,1996-06-23 12:19:58,1996,6
534,57640,4.0,2016-04-04 16:39:57,2016,4
54,500,3.0,1996-08-13 07:30:52,1996,8
68,1275,2.5,2006-09-17 22:56:35,2006,9
474,2116,2.0,2002-02-28 19:27:26,2002,2
182,5609,2.0,2003-06-09 10:18:17,2003,6
381,63808,2.5,2010-01-07 21:01:57,2010,1
420,7153,4.5,2008-08-06 16:52:34,2008,8
